endpoint_url,domain,network,capability,integration_type,x402_verified,success_rate_7d,latency_p50_7d,latency_p95_7d,samples_7d,score,last_probed_at
https://2captcha.x402.paysponge.com/reportCorrect,2captcha.x402.paysponge.com,base,infra,3P,false,1.0000,151,302,21,92,2026-05-25T07:45:03.629+00:00
https://2captcha.x402.paysponge.com/reportIncorrect,2captcha.x402.paysponge.com,base,infra,3P,false,1.0000,254,374,21,91,2026-05-25T07:44:55.845+00:00
https://2d6f30bb0ae713.lhr.life/base-edge,2d6f30bb0ae713.lhr.life,base,other,,false,0.0000,120,269,21,40,2026-05-25T07:45:27.134+00:00
https://81c7b32a76ce41.lhr.life/base-edge,81c7b32a76ce41.lhr.life,base,other,,false,0.0000,117,252,18,40,2026-05-25T07:48:15.47+00:00
https://852b2bac444424.lhr.life/base-edge,852b2bac444424.lhr.life,base,other,,false,0.0000,156,399,15,40,2026-05-25T07:48:21.201+00:00
https://9cbb3c721f8de8.lhr.life/base-edge,9cbb3c721f8de8.lhr.life,base,other,,false,0.0000,156,292,18,40,2026-05-25T07:47:56.972+00:00
https://agent-research-brief-api-production.up.railway.app/api/company-intel,agent-research-brief-api-production.up.railway.app,base,other,,false,1.0000,214,309,12,94,2026-05-25T07:39:24.442+00:00
https://agentic-video-market-service.onrender.com/v1/video/sora2-new,agentic-video-market-service.onrender.com,base,other,,false,1.0000,132,320,12,94,2026-05-22T07:11:59.491+00:00
https://agentproof-murex.vercel.app/schema/infer,agentproof-murex.vercel.app,base,other,,false,1.0000,201,676,12,94,2026-05-25T07:30:41.238+00:00
https://agents.allium.so/api/v1/developer/wallet/balances,agents.allium.so,base,data,1P,false,1.0000,148,195,21,97,2026-05-25T07:39:20.861+00:00
https://agents.allium.so/api/v1/developer/wallet/pnl,agents.allium.so,base,data,1P,false,1.0000,184,247,21,95,2026-05-25T07:39:21.404+00:00
https://agents.allium.so/api/v1/developer/wallet/transactions,agents.allium.so,base,data,1P,false,1.0000,138,218,21,97,2026-05-25T07:39:23.103+00:00
https://agents.allium.so/api/v1/explorer/queries/run-async,agents.allium.so,base,data,1P,false,1.0000,214,476,21,91,2026-05-25T07:39:16.961+00:00
https://agentspec-one.vercel.app/generate/bazaar-metadata,agentspec-one.vercel.app,base,other,,false,1.0000,119,295,12,95,2026-05-25T07:29:16.052+00:00
https://agentspec-one.vercel.app/score/agent-readiness,agentspec-one.vercel.app,base,other,,false,1.0000,106,131,3,96,2026-05-22T07:03:31.076+00:00
https://alpha.palmvox.com/api/airdrop/radar,alpha.palmvox.com,base,other,,false,0.5714,133,238,21,95,2026-05-25T07:37:32.276+00:00
https://api-dev.agents.skillfulai.io/api/x402/demo/mainnet/premium,api-dev.agents.skillfulai.io,base,other,,false,1.0000,396,822,21,89,2026-05-25T07:42:44.37+00:00
https://api-production-853c.up.railway.app/v1/explain-failure,api-production-853c.up.railway.app,base,other,,false,1.0000,158,267,12,95,2026-05-25T07:39:15.298+00:00
https://api-production-853c.up.railway.app/v1/preflight,api-production-853c.up.railway.app,base,other,,false,1.0000,150,259,12,95,2026-05-25T07:39:12.709+00:00
https://api-production-853c.up.railway.app/v1/repair,api-production-853c.up.railway.app,base,other,,false,1.0000,144,167,3,95,2026-05-22T07:08:00.973+00:00
https://api-production-853c.up.railway.app/v1/validate,api-production-853c.up.railway.app,base,other,,false,1.0000,157,165,3,95,2026-05-22T07:07:11.876+00:00
https://api.402pixels.com/block/50/52,api.402pixels.com,base,other,,false,1.0000,97,279,21,95,2026-05-25T07:39:22.87+00:00
https://api.402pixels.com/block/55/51,api.402pixels.com,base,other,,false,1.0000,185,303,21,94,2026-05-25T07:32:42.761+00:00
https://api.402pixels.com/block/56/51,api.402pixels.com,base,other,,false,1.0000,94,251,21,95,2026-05-25T07:34:03.973+00:00
https://api.402pixels.com/block/56/52,api.402pixels.com,base,other,,false,1.0000,91,490,21,95,2026-05-25T07:45:15.495+00:00
https://api.402pixels.com/block/57/51,api.402pixels.com,base,other,,false,1.0000,101,275,21,94,2026-05-25T07:35:22.243+00:00
https://api.402pixels.com/block/57/52,api.402pixels.com,base,other,,false,1.0000,84,93,3,96,2026-05-25T07:48:37.777+00:00
https://api.anchor-x402.com/v1/anchor,api.anchor-x402.com,base,other,,false,1.0000,243,405,21,95,2026-05-25T07:47:05.511+00:00
https://api.anchor-x402.com/v1/attest,api.anchor-x402.com,base,other,,false,1.0000,199,402,21,96,2026-05-25T07:47:39.297+00:00
https://api.anchor-x402.com/v1/decode/tx,api.anchor-x402.com,base,other,,false,1.0000,233,476,12,94,2026-05-22T07:20:58.918+00:00
https://api.anchor-x402.com/v1/intel/wallet,api.anchor-x402.com,base,other,,false,1.0000,211,283,6,94,2026-05-21T07:45:35.783+00:00
https://api.anchor-x402.com/v1/parse/datetime,api.anchor-x402.com,base,other,,false,1.0000,217,469,12,95,2026-05-25T07:48:29.309+00:00
https://api.anchor-x402.com/v1/price/token,api.anchor-x402.com,base,other,,false,1.0000,193,412,18,96,2026-05-25T07:48:00.106+00:00
https://api.anchor-x402.com/v1/resolve/name,api.anchor-x402.com,base,other,,false,1.0000,206,399,21,95,2026-05-25T07:47:55.569+00:00
https://api.anthropic.com/v1/messages,api.anthropic.com,base,inference,,false,1.0000,26,74,21,97,2026-05-25T07:29:16.604+00:00
https://api.bankr.bot/agent/job/{jobId},api.bankr.bot,base,infra,1P,false,1.0000,262,366,21,93,2026-05-25T07:30:13.035+00:00
https://api.bankr.bot/agent/prompt,api.bankr.bot,base,infra,1P,false,1.0000,269,374,21,91,2026-05-25T07:30:10.946+00:00
