endpoint_url,domain,network,capability,integration_type,x402_verified,success_rate_7d,latency_p50_7d,latency_p95_7d,samples_7d,score,last_probed_at
https://lowpaymentfee.com/api/v1/tokens/STX/price,lowpaymentfee.com,base,other,,false,,,,0,88,2026-05-14T06:54:31.165+00:00
https://orbisapi.com/proxy/green-building-score-api-d28384,orbisapi.com,base,other,,false,,,,0,,
https://api.brave.com/search,api.brave.com,base,search,,false,1.0000,380,556,4,,
https://api.exa.ai/contents,api.exa.ai,base,other,,false,1.0000,297,310,3,,
https://lowpaymentfee.com/api/v1/trades/156,lowpaymentfee.com,base,other,,false,,,,0,89,2026-05-14T06:54:39.001+00:00
https://api.groq.com/openai/v1/chat/completions,api.groq.com,base,inference,,false,1.0000,139,149,3,95,2026-05-14T06:54:39.352+00:00
https://api.openai.com/v1/chat/completions,api.openai.com,base,inference,,false,1.0000,277,329,3,97,2026-05-14T06:54:39.623+00:00
https://api.anthropic.com/v1/messages,api.anthropic.com,base,inference,,false,1.0000,221,321,3,97,2026-05-14T06:54:39.771+00:00
https://api.fireworks.ai/inference/v1/chat/completions,api.fireworks.ai,base,inference,,false,1.0000,296,984,3,96,2026-05-14T06:54:40.043+00:00
https://blockrun.ai/api/v1/pm/markets/search,blockrun.ai,base,inference,1P,false,1.0000,376,460,3,94,2026-05-14T06:54:40.555+00:00
https://api.together.xyz/v1/chat/completions,api.together.xyz,base,inference,,false,1.0000,348,424,3,96,2026-05-14T06:54:40.763+00:00
https://api.deepinfra.com/v1/openai/chat/completions,api.deepinfra.com,base,inference,,false,1.0000,1132,1196,3,93,2026-05-14T06:54:41.685+00:00
https://api.replicate.com/v1/predictions,api.replicate.com,base,inference,,false,1.0000,239,563,3,97,2026-05-14T06:54:41.932+00:00
https://api.strale.io/x402/github-actions-generate,api.strale.io,base,other,,false,,,,0,,
https://api.the402.ai/v1/services/svc_7068ba474e8f444f/purchase,api.the402.ai,base,other,,false,1.0000,785,798,3,,
https://x402-deployer.x402-deployer.workers.dev/hacker-news-search,x402-deployer.x402-deployer.workers.dev,base,other,,false,,,,0,86,2026-05-14T06:54:45.742+00:00
https://zlurp.ai/scrape,zlurp.ai,base,other,,false,,,,0,,
https://api.perplexity.ai/chat/completions,api.perplexity.ai,base,data,,false,1.0000,230,267,3,96,2026-05-14T06:54:46.852+00:00
https://api.tavily.com/search,api.tavily.com,base,data,,false,1.0000,400,486,3,96,2026-05-14T06:54:47.264+00:00
https://serpapi.com/search,serpapi.com,base,data,,false,1.0000,198,238,3,96,2026-05-14T06:54:47.443+00:00
https://r.jina.ai/,r.jina.ai,base,data,,false,0.0000,8000,8000,3,40,2026-05-14T06:55:11.565+00:00
https://api.you.com/v1/search,api.you.com,base,data,,false,1.0000,243,394,3,95,2026-05-14T06:55:11.958+00:00
https://lowpaymentfee.com/api/v1/tokens/TRX,lowpaymentfee.com,base,other,,false,,,,0,,
https://llm.bankr.bot/v1/chat/completions,llm.bankr.bot,base,infra,1P,false,1.0000,839,928,3,91,2026-05-14T06:55:14.635+00:00
https://lowpaymentfee.com/api/v1/trades/170,lowpaymentfee.com,base,other,,false,,,,0,94,2026-05-14T06:55:15.479+00:00
https://llm.bankr.bot/v1/usage,llm.bankr.bot,base,infra,1P,false,1.0000,848,857,3,93,2026-05-14T06:55:16.29+00:00
https://api.strale.io/x402/swiss-company-data,api.strale.io,base,other,,false,1.0000,438,461,3,,
https://api.bankr.bot/wallet/portfolio,api.bankr.bot,base,infra,1P,false,1.0000,847,938,3,92,2026-05-14T06:55:17.829+00:00
https://api.bankr.bot/wallet/submit,api.bankr.bot,base,infra,1P,false,1.0000,784,784,3,93,2026-05-14T06:55:18.693+00:00
https://api.bankr.bot/agent/prompt,api.bankr.bot,base,infra,1P,false,1.0000,777,826,3,93,2026-05-14T06:55:19.615+00:00
https://api.bankr.bot/wallet/sign,api.bankr.bot,base,infra,1P,false,1.0000,810,859,3,94,2026-05-14T06:55:20.345+00:00
https://api.bankr.bot/agent/job/{jobId},api.bankr.bot,base,infra,1P,false,1.0000,801,809,3,93,2026-05-14T06:55:21.142+00:00
https://orbisapi.com/proxy/options-sensitivity-api-5c8ac4,orbisapi.com,base,other,,false,,,,0,,
https://x402.ser-api.wtf/data,x402.ser-api.wtf,base,other,,false,,,,0,,
https://api.bankr.bot/wallet/me,api.bankr.bot,base,infra,1P,false,1.0000,787,809,3,93,2026-05-14T06:55:26.563+00:00
https://api.bankr.bot/wallet/transfer,api.bankr.bot,base,infra,1P,false,1.0000,773,808,3,93,2026-05-14T06:55:27.507+00:00
https://lowpaymentfee.com/api/v1/trades/110,lowpaymentfee.com,base,other,,false,,,,0,,
https://gateway.thegraph.com/api/x402/subgraphs/id/{subgraph_id},gateway.thegraph.com,base,data,1P,false,1.0000,142,159,3,,
https://gateway.thegraph.com/api/x402/deployments/id/{deployment_id},gateway.thegraph.com,base,data,1P,false,1.0000,505,610,3,,
https://api.venice.ai/api/v1/models,api.venice.ai,base;solana,inference,3P,false,0.0000,273,287,3,,
https://tripadvisor.x402.paysponge.com/api/v1/location/nearby_search,tripadvisor.x402.paysponge.com,base,infra,3P,false,1.0000,301,334,3,93,2026-05-14T06:55:29.782+00:00
https://api.venice.ai/api/v1/audio/transcriptions,api.venice.ai,base,inference,1P,false,0.0000,254,260,3,40,2026-05-14T06:55:30.05+00:00
https://freepik.x402.paysponge.com/v1/ai/image-to-prompt/{task-id},freepik.x402.paysponge.com,base,infra,3P,false,1.0000,300,684,3,,
https://api.bankr.bot/token-launches/deploy,api.bankr.bot,base,infra,1P,false,0.0000,779,849,3,40,2026-05-14T06:55:31.55+00:00
https://api.strale.io/x402/tax-id-validate,api.strale.io,base,other,,false,1.0000,391,399,3,,
https://api.strale.io/x402/email-deliverability-check,api.strale.io,base,other,,false,,,,0,,
https://orbisapi.com/proxy/grant-fit-score-api-a9459d,orbisapi.com,base,other,,false,,,,0,,
https://lowpaymentfee.com/api/v1/trades/175,lowpaymentfee.com,base,other,,false,,,,0,,
https://lowpaymentfee.com/api/v1/trades/102,lowpaymentfee.com,base,other,,false,,,,0,,
https://orbisapi.com/proxy/grant-report-parser-api-09d023,orbisapi.com,base,other,,false,,,,0,,
https://x402.alchemy.com/{chainNetwork}/nft/v3/getNFTMetadata,x402.alchemy.com,base;solana,infra,1P,false,1.0000,229,234,3,95,2026-05-14T06:55:44.851+00:00
https://lowpaymentfee.com/api/v1/trades/187,lowpaymentfee.com,base,other,,false,,,,0,,
https://pro-api.coinmarketcap.com/x402/v3/cryptocurrency/listing/latest,pro-api.coinmarketcap.com,base,data,1P,false,1.0000,248,248,3,96,2026-05-14T06:55:45.704+00:00
https://pro-api.coinmarketcap.com/x402/v4/dex/pairs/quotes/latest,pro-api.coinmarketcap.com,base,data,1P,false,1.0000,248,266,3,96,2026-05-14T06:55:45.974+00:00
https://orbisapi.com/proxy/goal-clarity-score-api-54d459,orbisapi.com,base,other,,false,,,,0,,
https://pro-api.coinmarketcap.com/x402/v3/cryptocurrency/quotes/latest,pro-api.coinmarketcap.com,base,data,1P,false,1.0000,241,260,3,97,2026-05-14T06:55:49.377+00:00
https://lowpaymentfee.com/api/v1/trades/85,lowpaymentfee.com,base,other,,false,,,,0,96,2026-05-14T06:55:49.91+00:00
https://pro-api.coinmarketcap.com/x402/mcp,pro-api.coinmarketcap.com,base,data,1P,false,1.0000,243,255,3,96,2026-05-14T06:55:50.129+00:00
https://x402.alchemy.com/{chainNetwork}/nft/v3/getNFTsForOwner,x402.alchemy.com,base;solana,infra,1P,false,1.0000,233,257,3,,
https://spyfu.x402.paysponge.com/apis/cloud_ad_history_api/v2/term/getTermAdHistory,spyfu.x402.paysponge.com,base,data,3P,false,1.0000,284,307,3,,
https://lowpaymentfee.com/api/v1/transactions/132/receipt,lowpaymentfee.com,base,other,,false,,,,0,,
https://orbisapi.com/proxy/grammar-error-classifier-api-60b99f,orbisapi.com,base,other,,false,,,,0,,
